Position,Ticker,Today,Expiration,Strike,Type,Spot,Qty,P&L Today,P&L Unrealized,% P&L Unrealized,Mkt Value,$ Chg. Close,Last Trade,Bid,Ask,Cost Basis,Min. Req.,Notional,Magin Not.,Gross Margin,OOMP/C,Net Margin,Premium,Total Margin,Spot + 1%,N+Notional,NGM+,NOOMP/C+,Margin+Delta,Spot - 1%,N-Notional,NGM-,NOOMP/C-,Margin-Delta,% G/L,Gross RR,Annual,Yld / Put G,Yld / Put A,Days_Until_Expire
SPY Jun 16 '17 $247 Call,SPY,2017-06-22,2017-06-16,247,Call,242.95,-50,150,934.25,87.66,-100,-0.03,0.02,0.01,0.02,0.21,747,-1235e3,-12147.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
SPY Jun 16 '17 $240.50 Put,SPY,2017-06-22,2017-06-16,241,Put,242.95,-30,-30,469.75,48.41,-480,0,0.16,0.16,0.18,0.32,541,-723e3,-7288.5,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
SPY Jun 16 '17 $241 Put,SPY,2017-06-22,2017-06-16,241,Put,242.95,-60,-27.5,717.49,36.56,-1200,0.01,0.2,0.2,0.21,0.32,841,-1446e3,-14577,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
UAL Jun 16 '17 $85 Call,UAL,2017-06-22,2017-06-16,85,Call,77.59,-60,60,1387.5,92.96,-60,-0.01,0.01,0.01,0.02,0.24,685,-51e4,-4655.4000000000005,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
UAL Jun 23 '17 $84 Call,UAL,2017-06-22,2017-06-23,84,Call,77.59,-30,0,649.74,64.96,-330,0,0.11,0.05,0.12,0.33,384,-252e3,-2327.7000000000003,0,-252e3,25200,-1650,25455,0,0,0,-252e3,0,0,0,0,-252e3,0,NA,NA,NA,NA,NA,1
UAL Jun 23 '17 $85 Call,UAL,2017-06-22,2017-06-23,85,Call,77.59,-20,0,332.5,63.03,-180,0,0.09,0.03,0.13,0.26,285,-17e4,-1551.8000000000002,NA,NA,NA,-1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
UAL Jun 23 '17 $77 Put,UAL,2017-06-22,2017-06-23,77,Put,77.59,-100,1400,970.25,7.56,-11800,-0.09,1.36,1.13,1.18,1.28,1077,-77e4,-7759,NA,NA,NA,-5500.000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
UAL Jun 30 '17 $82 Call,UAL,2017-06-22,2017-06-30,82,Call,77.59,-50,150,2384.17,52.8,-2100,-0.03,0.42,0.41,0.45,0.9,582,-41e4,-3879.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
UAL Jun 30 '17 $77.50 Put,UAL,2017-06-22,2017-06-30,78,Put,77.59,-40,400,906.84,10.99,-7320,-0.1,1.83,1.76,1.89,2.06,478,-312e3,-3103.6000000000004,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
UAL Jul 07 '17 $77 Put,UAL,2017-06-22,2017-07-07,77,Put,77.59,-50,1050,1634.03,14.57,-9550,-0.39,1.85,1.91,2.03,2.24,577,-385e3,-3879.5,NA,NA,NA,-2750.0000000000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
UNP Jun 16 '17 $113 Call,UNP,2017-06-22,2017-06-16,113,Call,107.62,-40,640,707,79.17,-160,-0.12,0.07,0,0.04,0.22,513,-452e3,-4304.8,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
UNP Jun 23 '17 $114 Call,UNP,2017-06-22,2017-06-23,114,Call,107.62,-80,1840,1365.99,59.44,-880,-0.23,0.11,0.09,0.14,0.28,914,-912e3,-8609.6,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
UNP Jun 23 '17 $106 Put,UNP,2017-06-22,2017-06-23,106,Put,107.62,-80,-16.01,-16.01,-0.76,-2080,-0.24,0.28,0.21,0.26,0.26,906,-848e3,-8609.6,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
UNP Jun 23 '17 $107 Put,UNP,2017-06-22,2017-06-23,107,Put,107.62,-40,-155,-155,-12.55,-1360,-0.31,0.34,0.34,0.4,0.3,507,-428e3,-4304.8,NA,NA,NA,-2200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
WYNN Jun 23 '17 $138 Call,WYNN,2017-06-22,2017-06-23,138,Call,137.46,-30,600,1783.68,44.32,-2220,-0.2,0.74,0.67,0.78,1.33,438,-414e3,-4123.8,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
